,period,reporterCode,mirrorPrimaryValue,mirrorNetWgt,primaryValue,netWgt
0,201501,4,{},{},{},{}
1,201502,4,{},{},{},{}
2,201503,4,{},{},{},{}
3,201504,4,{},{},{},{}
4,201505,4,{},{},{},{}
5,201506,4,{},{},{},{}
6,201507,4,{},{},{},{}
7,201508,4,{},{},{},{}
8,201509,4,{},{},{},{}
9,201510,4,{},{},{},{}
10,201511,4,{},{},{},{}
11,201512,4,{},{},{},{}
12,201601,4,{},{},{},{}
13,201602,4,{},{},{},{}
14,201603,4,{},{},{},{}
15,201604,4,{},{},{},{}
16,201605,4,{},{},{},{}
17,201606,4,{},{},{},{}
18,201607,4,{},{},{},{}
19,201608,4,{398: 771661.31},{398: 1990600.0},{},{}
20,201609,4,{},{},{},{}
21,201610,4,{},{},{},{}
22,201611,4,{},{},{},{}
23,201612,4,{},{},{},{}
24,201701,4,{},{},{},{}
25,201702,4,{},{},{},{}
26,201703,4,{},{},{},{}
27,201704,4,{},{},{},{}
28,201705,4,{},{},{},{}
29,201706,4,{},{},{},{}
30,201707,4,{},{},{},{}
31,201708,4,{},{},{},{}
32,201709,4,{},{},{},{}
33,201710,4,{},{},{},{}
34,201711,4,{},{},{},{}
35,201712,4,{},{},{},{}
36,201801,4,{},{},{},{}
37,201802,4,{},{},{},{}
38,201803,4,{},{},{},{}
39,201804,4,{},{},{},{}
40,201805,4,{},{},{},{}
41,201806,4,{},{},{},{}
42,201807,4,{},{},{},{}
43,201808,4,{},{},{},{}
44,201809,4,{},{},{},{}
45,201810,4,{},{},{},{}
46,201811,4,{},{},{},{}
47,201812,4,{},{},{},{}
48,201901,4,{},{},{},{}
49,201902,4,{},{},{},{}
50,201903,4,{},{},{},{}
51,201904,4,{},{},{},{}
52,201905,4,{},{},{},{}
53,201906,4,{},{},{},{}
54,201907,4,{},{},{},{}
55,201908,4,{},{},{},{}
56,201909,4,{},{},{},{}
57,201910,4,{},{},{},{}
58,201911,4,{},{},{},{}
59,201912,4,{},{},{},{}
60,202001,4,{},{},{},{}
61,202002,4,{},{},{},{}
62,202003,4,{},{},{},{}
63,202004,4,{},{},{},{}
